Time,Cars_inside,Total_spaces,Free_spaces,Air_value,Gate_status
11:51:48,6,10,4,35,ALLOW
11:51:49,6,10,4,35,ALLOW
11:51:50,6,10,4,35,ALLOW
11:51:51,6,10,4,35,ALLOW
11:51:52,6,10,4,35,ALLOW
11:51:53,6,10,4,35,ALLOW
11:51:54,6,10,4,35,ALLOW
11:51:55,6,10,4,35,ALLOW
11:51:56,6,10,4,36,ALLOW
11:51:56,6,10,4,36,ALLOW
11:51:57,6,10,4,35,ALLOW
11:51:58,6,10,4,35,ALLOW
11:51:59,6,10,4,35,ALLOW
11:52:00,6,10,4,34,ALLOW
11:52:02,6,10,4,35,ALLOW
11:52:03,6,10,4,34,ALLOW
11:52:04,6,10,4,35,ALLOW
11:52:05,6,10,4,35,ALLOW
11:52:06,6,10,4,35,ALLOW
11:52:07,6,10,4,35,ALLOW
11:52:08,6,10,4,34,ALLOW
11:52:09,6,10,4,35,ALLOW
11:52:10,6,10,4,34,ALLOW
11:52:11,6,10,4,35,ALLOW
11:52:12,6,10,4,35,ALLOW
11:52:13,6,10,4,34,ALLOW
11:52:14,6,10,4,35,ALLOW
11:52:15,6,10,4,35,ALLOW
11:52:16,6,10,4,35,ALLOW
11:52:17,6,10,4,35,ALLOW
11:52:18,6,10,4,35,ALLOW
11:52:19,6,10,4,35,ALLOW
11:52:20,6,10,4,35,ALLOW
11:52:21,6,10,4,35,ALLOW
11:52:22,6,10,4,35,ALLOW
11:52:23,6,10,4,35,ALLOW
11:52:24,6,10,4,34,ALLOW
11:52:25,6,10,4,35,ALLOW
11:52:26,6,10,4,35,ALLOW
11:52:27,6,10,4,35,ALLOW
11:52:28,6,10,4,34,ALLOW
11:52:29,6,10,4,35,ALLOW
11:52:30,6,10,4,35,ALLOW
11:52:31,6,10,4,35,ALLOW
11:52:32,6,10,4,36,ALLOW
11:52:33,6,10,4,35,ALLOW
11:52:33,6,10,4,36,ALLOW
11:52:34,6,10,4,35,ALLOW
11:52:35,6,10,4,35,ALLOW
11:52:36,6,10,4,37,ALLOW
11:52:37,6,10,4,36,ALLOW
11:52:38,6,10,4,37,ALLOW
11:52:39,6,10,4,36,ALLOW
11:52:41,6,10,4,36,ALLOW
11:52:42,6,10,4,36,ALLOW
